Variable / Field Name,Form Name,Section Header,Field Type,Field Label,select_choices_or_calculations,Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
f9_baby_rr_dk,baby_outcomes_part_2,,yesno,Baby's RR not known,,,,,,,"[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_baby_rr] = """" and [f9_baby_born_alive] = '1' and (([birth_mother_arm_1][f7_mz_district_hospital] <> '90' and [birth_mother_arm_1][f7_mz_district_hospital] <> '99' and [birth_mother_arm_1][f7_mz_district_hospital] <> '')))",y,RH,,,,
f9_baby_admitted_route,baby_outcomes_part_2,,radio,Was the baby admitted to a neonatal ward or unit separate from the mother?,"1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_baby_born_alive] = '1' and ([birth_mother_arm_1][f7_delivery_location] > '1' and [birth_mother_arm_1][f7_delivery_location] < '7')),y,RH,,,,
f9_baby_admission_date_time,baby_outcomes_part_2,,text,"=> if yes, what was the DATE and TIME of admission?",,,datetime_ymd,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_baby_admitted_route] = '1' and (([birth_mother_arm_1][f7_mz_district_hospital] <> '90' and [birth_mother_arm_1][f7_mz_district_hospital] <> '99' and [birth_mother_arm_1][f7_mz_district_hospital] <> ''))),y,RH,,,,
f9_baby_admission_date_time_not_available,baby_outcomes_part_2,,yesno,=> Don't know,,,,,,,"[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_baby_admitted_route] = '1' and [f9_baby_admission_date_time] = """" and (([birth_mother_arm_1][f7_mz_district_hospital] <> '90' and [birth_mother_arm_1][f7_mz_district_hospital] <> '99' and [birth_mother_arm_1][f7_mz_district_hospital] <> '')))",y,RH,,,,
f9_baby_discharge_date_time,baby_outcomes_part_2,,text,"=> if yes, what was the DATE and TIME of discharge?",,,datetime_ymd,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_baby_admitted_route] = '1' and (([birth_mother_arm_1][f7_mz_district_hospital] <> '90' and [birth_mother_arm_1][f7_mz_district_hospital] <> '99' and [birth_mother_arm_1][f7_mz_district_hospital] <> ''))),y,RH,,,,
f9_baby_discharge_date_time_not_available,baby_outcomes_part_2,,yesno,=> Don't know,,,,,,,"[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_baby_admitted_route] = '1' and [f9_baby_discharge_date_time] = """" and (([birth_mother_arm_1][f7_mz_district_hospital] <> '90' and [birth_mother_arm_1][f7_mz_district_hospital] <> '99' and [birth_mother_arm_1][f7_mz_district_hospital] <> '')))",y,RH,,,,
f9_status_at_discharge,baby_outcomes_part_2,,dropdown,"=> if yes, what was the baby's status at discharge?","1, Alive | 2, Dead | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_baby_admitted_route] = '1'),y,RH,,,,
f9_seizures_during_admission,baby_outcomes_part_2,,radio,"=> if yes, did the baby have fits or seizures during admission?","1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_baby_admitted_route] = '1' and (([birth_mother_arm_1][f7_mz_district_hospital] <> '90' and [birth_mother_arm_1][f7_mz_district_hospital] <> '99' and [birth_mother_arm_1][f7_mz_district_hospital] <> ''))),y,RH,,,,
f9_jaundice_presence_on_discharge,baby_outcomes_part_2,,dropdown,"=> if yes, did the baby receive phototherapy for jaundice?","1, Yes | 0, No, not needed | 97, No, needed but not available | 2, No, needed but declined | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_baby_admitted_route] = '1' and (([birth_mother_arm_1][f7_mz_district_hospital] <> '90' and [birth_mother_arm_1][f7_mz_district_hospital] <> '99' and [birth_mother_arm_1][f7_mz_district_hospital] <> ''))),y,RH,,,,
f9_oxygen_received,baby_outcomes_part_2,,dropdown,"=> if yes, did the baby receive oxygen?","1, Yes | 0, No, not needed | 97, No, needed but not available | 2, No, needed but declined | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_baby_admitted_route] = '1' and (([birth_mother_arm_1][f7_mz_district_hospital] <> '90' and [birth_mother_arm_1][f7_mz_district_hospital] <> '99' and [birth_mother_arm_1][f7_mz_district_hospital] <> ''))),y,RH,,,,
f9_invasive_ventilation,baby_outcomes_part_2,,dropdown,"=> if yes, did the baby receive invasive ventilation via ETT?","1, Yes | 0, No, not needed | 97, No, needed but not available | 2, No, needed but declined | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_baby_admitted_route] = '1' and (([birth_mother_arm_1][f7_mz_district_hospital] <> '90' and [birth_mother_arm_1][f7_mz_district_hospital] <> '99' and [birth_mother_arm_1][f7_mz_district_hospital] <> ''))),y,RH,,,,
f9_noninvasive_ventilation,baby_outcomes_part_2,,dropdown,"=> if yes, did the baby receive non-invasive ventilation CPAP?","1, Yes | 0, No, not needed | 97, No, needed but not available | 2, No, needed but declined | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_baby_admitted_route] = '1' and (([birth_mother_arm_1][f7_mz_district_hospital] <> '90' and [birth_mother_arm_1][f7_mz_district_hospital] <> '99' and [birth_mother_arm_1][f7_mz_district_hospital] <> ''))),y,RH,,,,
f9_jaundice_exchange_transfusion,baby_outcomes_part_2,,dropdown,"=> if yes, did the baby receive exchange transfusion for jaundice?","1, Yes | 0, No, not needed | 97, No, needed but not available | 2, No, needed but declined | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_baby_admitted_route] = '1' and (([birth_mother_arm_1][f7_mz_district_hospital] <> '90' and [birth_mother_arm_1][f7_mz_district_hospital] <> '99' and [birth_mother_arm_1][f7_mz_district_hospital] <> ''))),y,RH,,,,
f9_antibiotics_received,baby_outcomes_part_2,,dropdown,"=> if yes, did the baby receive antibiotics?","1, Yes | 0, No, not needed | 97, No, needed but not available | 2, No, needed but declined | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_baby_admitted_route] = '1' and (([birth_mother_arm_1][f7_mz_district_hospital] <> '90' and [birth_mother_arm_1][f7_mz_district_hospital] <> '99' and [birth_mother_arm_1][f7_mz_district_hospital] <> ''))),y,RH,,,,
f9_infection_during_admission,baby_outcomes_part_2,,radio,"==> if yes, was the baby diagnosed with an infection during admission?","1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_antibiotics_received] = '1'),y,RH,,,,
f9_type_of_infection,baby_outcomes_part_2,,dropdown,"===> if yes, what type of infection was the baby diagnosed with?","1, Tetanus | 2, Bacterial meningitis | 3, Pneumonia | 4, Neonatal sepsis | 5, Syphilis | 90, Other | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_infection_during_admission] = '1'),y,RH,,,,
f9_type_of_infection_other,baby_outcomes_part_2,,text,"====> If other, please specify",,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_type_of_infection] = '90'),y,RH,,,,
f9_receive_iv_fluids,baby_outcomes_part_2,,dropdown,"=> if yes, did the baby receive IV fluids?","1, Yes | 0, No, not needed | 97, No, needed but not available | 2, No, needed but declined | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_baby_admitted_route] = '1' and (([birth_mother_arm_1][f7_mz_district_hospital] <> '90' and [birth_mother_arm_1][f7_mz_district_hospital] <> '99' and [birth_mother_arm_1][f7_mz_district_hospital] <> ''))),y,RH,,,,
f9_feeding_tube_used,baby_outcomes_part_2,,dropdown,"=> if yes, was a feeding tube used for feeding difficulty or low blood sugar?","1, Yes | 0, No, not needed | 97, No, needed but not available | 2, No, needed but declined | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_baby_admitted_route] = '1' and (([birth_mother_arm_1][f7_mz_district_hospital] <> '90' and [birth_mother_arm_1][f7_mz_district_hospital] <> '99' and [birth_mother_arm_1][f7_mz_district_hospital] <> ''))),y,RH,,,,
f9_incubator_for_low_temp,baby_outcomes_part_2,,dropdown,"=> if yes, was the baby put in an incubator for low body temperature?","1, Yes | 0, No, not needed | 97, No, needed but not available | 2, No, needed but declined | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_baby_admitted_route] = '1' and (([birth_mother_arm_1][f7_mz_district_hospital] <> '90' and [birth_mother_arm_1][f7_mz_district_hospital] <> '99' and [birth_mother_arm_1][f7_mz_district_hospital] <> ''))),y,RH,,,,
f9_suction,baby_outcomes_part_2,,radio,Were the baby's nose or mouth suctioned?,"1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_baby_born_alive] = '1' and (([birth_mother_arm_1][f7_mz_district_hospital] <> '90' and [birth_mother_arm_1][f7_mz_district_hospital] <> '99' and [birth_mother_arm_1][f7_mz_district_hospital] <> ''))),y,RH,,,,
f9_baby_fed_method,baby_outcomes_part_2,,radio,Was the baby breastfed or fed breast milk?,"1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_baby_born_alive] = '1' and (([birth_mother_arm_1][f7_mz_district_hospital] <> '90' and [birth_mother_arm_1][f7_mz_district_hospital] <> '99' and [birth_mother_arm_1][f7_mz_district_hospital] <> ''))),y,RH,,,,
f9_baby_fed_first_time,baby_outcomes_part_2,,dropdown,"=> if yes, how long after birth did the baby first breastfeed or receive breast milk?","1, <1 hr | 2, <2 hrs | 3, <4 hrs | 4, <12 hrs | 5, >12 hrs",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_baby_fed_method] = '1'),y,RH,,,,
f9_baby_fed_first_time_specify,baby_outcomes_part_2,,text,"==> If >12 hours, please specify",,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_baby_fed_first_time] = '5'),y,RH,,,,
f9_breastfeeding_status_at_discharge,baby_outcomes_part_2,,dropdown,What is the baby's breastfeeding status at discharge?,"1, Feeding ok | 2, Is not breastfeeding or has troubles | 99, Don't know | 98, Not applicable",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_baby_born_alive] = '1' and (([birth_mother_arm_1][f7_mz_district_hospital] <> '90' and [birth_mother_arm_1][f7_mz_district_hospital] <> '99' and [birth_mother_arm_1][f7_mz_district_hospital] <> ''))),y,RH,,,,
f9_kangaroo_mother_care,baby_outcomes_part_2,,dropdown,Did the baby receive kangaroo mother care?,"1, Yes | 0, No | 98, Not Applicable | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_baby_born_alive] = '1' and (([birth_mother_arm_1][f7_mz_district_hospital] <> '90' and [birth_mother_arm_1][f7_mz_district_hospital] <> '99' and [birth_mother_arm_1][f7_mz_district_hospital] <> ''))),y,RH,,,,
f9_baby_bathed,baby_outcomes_part_2,,radio,Was the baby bathed?,"1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_baby_born_alive] = '1' and (([birth_mother_arm_1][f7_mz_district_hospital] <> '90' and [birth_mother_arm_1][f7_mz_district_hospital] <> '99' and [birth_mother_arm_1][f7_mz_district_hospital] <> ''))),y,RH,,,,
f9_bath_after_birth_time,baby_outcomes_part_2,,dropdown,"=> if yes, how long after birth was the baby bathed?","1, <1 hr | 2, <2 hrs | 3, <4 hrs | 4, <12 hrs | 5, =>12 hrs",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_baby_bathed] = '1'),y,RH,,,,
f9_bath_after_birth_time_specify,baby_outcomes_part_2,,text,"==> If => 12 hours, please specify",,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_bath_after_birth_time] = '5'),y,RH,,,,
f9_baby_vitamin_k,baby_outcomes_part_2,,dropdown,Did the baby receive Vitamin K?,"1, Yes | 0, No | 99, Don't know | 97, Not available",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_baby_born_alive] = '1' and (([birth_mother_arm_1][f7_mz_district_hospital] <> '90' and [birth_mother_arm_1][f7_mz_district_hospital] <> '99' and [birth_mother_arm_1][f7_mz_district_hospital] <> ''))),y,RH,,,,
f9_mother_hiv_positive,baby_outcomes_part_2,,radio,Is the mother HIV positive?,"1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_baby_born_alive] = '1' and (([birth_mother_arm_1][f7_mz_district_hospital] <> '90' and [birth_mother_arm_1][f7_mz_district_hospital] <> '99' and [birth_mother_arm_1][f7_mz_district_hospital] <> ''))),y,RH,,,,
f9_mother_hiv_positive_art_initiated,baby_outcomes_part_2,,dropdown,"=> if yes, was ART for infant prophylaxis initiated?","0, No | 1, Yes - at diagnosis | 2, Yes - only for labour and delivery | 99, Don't know | 98, Not applicable",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f9_mother_hiv_positive] = '1'),y,RH,,,,
fsb_neonatal_heel_prick,baby_outcomes_part_2,Sample Collection,yesno,Was Neonatal Heel Prick collected?,,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and (([birth_mother_arm_1][f7_mz_district_hospital] <> '90' and [birth_mother_arm_1][f7_mz_district_hospital] <> '99' and [birth_mother_arm_1][f7_mz_district_hospital] <> '')),y,RH,,,,
fsb_neonatal_heel_prick_reason,baby_outcomes_part_2,,dropdown,"=> if no, why?","0, No consent | 1, Participant refused | 2, No staff member available to collect sample | 3, No staff member available to process sample | 8, Participant did not deliver in one of the study sites | 10, Not needed - cord blood sample collected | 90, Other (specify) | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([fsb_neonatal_heel_prick] = '0'),y,RH,,,,
fsb_neonatal_heel_prick_reason_other,baby_outcomes_part_2,,text,"=> if no, other reason (specify)",,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([fsb_neonatal_heel_prick_reason] = '90'),y,RH,,,,
f9_22_not_needed,baby_outcomes_part_2,System,descriptive," <span style=""background:yellow""> <span style=""color:red"">This form is not required for this woman.</span>",,,,,,,[profile_summary_arm_1][f2a_cohort] = '1',,RH,,,,
f9_22_app_username,baby_outcomes_part_2,,text,Mobile app username:,,,,,,,,,RH,,,, @APPUSERNAME-APP @READONLY @HIDDEN-APP
f10b_discharge_baby_id,baby_outcomes_part_2_discharge_of_babyies,Baby Discharge,text,What is the baby's ID?,,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and (([f9_baby_born_alive] = '1' or [f9_baby_alive] = '1') and [f9_ga_at_delivery] >= 20),,RH,,,, @HIDDEN
f10b_baby_leave_after_birth,baby_outcomes_part_2_discharge_of_babyies,,text,When after birth did the baby leave the facility?,,,datetime_ymd,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and (([f9_baby_born_alive] = '1' or [f9_baby_alive] = '1') and [f9_ga_at_delivery] >= 20 and ([birth_mother_arm_1][f7_delivery_location] > '1' and [birth_mother_arm_1][f7_delivery_location] < '7')),y,RH,,,,
f10b_baby_leave_after_birth_dk,baby_outcomes_part_2_discharge_of_babyies,,yesno,Don't know,,,,,,,"[profile_summary_arm_1][f2a_cohort] <> '1' and (([f9_baby_born_alive] = '1' or [f9_baby_alive] = '1') and [f10b_baby_leave_after_birth] = """" and ([birth_mother_arm_1][f7_delivery_location] > '1' and [birth_mother_arm_1][f7_delivery_location] < '7') )",y,RH,,,,
f10b_baby_leave_destination,baby_outcomes_part_2_discharge_of_babyies,,dropdown,Where did the baby go when he/she left this facility?,"1, Mother's home | 2, Relative's home | 3, Family friend's home | 4, Transferred to another facility | 90, Other (specify) | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and (([f9_baby_born_alive] = '1' or [f9_baby_alive] = '1') and [f9_ga_at_delivery] >= 20 and ([birth_mother_arm_1][f7_delivery_location] > '1' and [birth_mother_arm_1][f7_delivery_location] < '7')),y,RH,,,,
f10b_baby_leave_destination_other,baby_outcomes_part_2_discharge_of_babyies,,text,=> Please specify,,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f10b_baby_leave_destination] = '90'),y,RH,,,,
f10b_baby_transfer_to_which_facility,baby_outcomes_part_2_discharge_of_babyies,,text,"=> If the baby was transferred to another facility, which facility was (s)he transferred to?",,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f10b_baby_leave_destination] = '4'),y,RH,,,,
f10b_baby_against_medical_advice,baby_outcomes_part_2_discharge_of_babyies,,radio,"=> If the baby went home, was this against medical advice?","1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f10b_baby_leave_destination] = '1' or [f10b_baby_leave_destination] = '2' or [f10b_baby_leave_destination] = '3'),y,RH,,,,
f10b_baby_prescribed_therapy,baby_outcomes_part_2_discharge_of_babyies,,radio,"=> If the baby went home, was (s)he prescribed any therapy?","1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f10b_baby_leave_destination] = '1' or [f10b_baby_leave_destination] = '2' or [f10b_baby_leave_destination] = '3'),y,RH,,,,
f10b_baby_specify_prescribed_therapy,baby_outcomes_part_2_discharge_of_babyies,,text,"==> If yes, which therapy was (s)he prescribed?",,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f10b_baby_prescribed_therapy] = '1'),y,RH,,,,
f10b_baby_advice_to_return,baby_outcomes_part_2_discharge_of_babyies,,radio,"=> If the baby went home, was the family advised to bring the baby back sooner than routine?","1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f10b_baby_leave_destination] = '1' or [f10b_baby_leave_destination] = '2' or [f10b_baby_leave_destination] = '3'),y,RH,,,,
f10b_baby_no_of_days_to_return,baby_outcomes_part_2_discharge_of_babyies,,text,"==> If yes, after how many days were they advised to bring the baby back?",,,integer,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f10b_baby_advice_to_return] = '1'),y,RH,,,,
f10b_baby_advice_to_another_service,baby_outcomes_part_2_discharge_of_babyies,,radio,"=> If the baby went home, was the baby referred to another service within this facility for specialist follow-up?","1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f10b_baby_leave_destination] = '1' or [f10b_baby_leave_destination] = '2' or [f10b_baby_leave_destination] = '3'),y,RH,,,,
f10b_baby_service_within_this_facility,baby_outcomes_part_2_discharge_of_babyies,,text,"==> If yes, please specify which other service (s)he was referred to?",,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f10b_baby_advice_to_another_service] = '1'),y,RH,,,,
f10b_baby_another_service_another_facility,baby_outcomes_part_2_discharge_of_babyies,,radio,"=> If the baby went home, was the baby referred to another service not in this facility for specialist follow-up?","1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f10b_baby_leave_destination] = '1' or [f10b_baby_leave_destination] = '2' or [f10b_baby_leave_destination] = '3'),y,RH,,,,
f10b_baby_service_another_facility,baby_outcomes_part_2_discharge_of_babyies,,text,"=> If the baby went home, was the family given any particular advice?",,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f10b_baby_leave_destination] = '1' or [f10b_baby_leave_destination] = '2' or [f10b_baby_leave_destination] = '3'),y,RH,,,,
f10b_22_not_needed,baby_outcomes_part_2_discharge_of_babyies,System,descriptive," <span style=""background:yellow""> <span style=""color:red"">This form is not required for this woman.</span>",,,,,,,[profile_summary_arm_1][f2a_cohort] = '1',,RH,,,,
f10b_22_app_username,baby_outcomes_part_2_discharge_of_babyies,,text,Mobile app username:,,,,,,,,,RH,,,, @APPUSERNAME-APP @READONLY @HIDDEN-APP
fw_withdraw_from_study,lost_to_followup_withdrawal,Withdraw or Lost to Follow-up,yesno,Did the woman withdraw from the study?,,,,,,,,y,RH,,,,
fw_withdraw_reason,lost_to_followup_withdrawal,,dropdown,"=> If yes, please state the major reason for withdrawal","1, Unhappy with the study | 2, No reason given | 90, Other (please specify)",,,,,,[fw_withdraw_from_study] = '1',y,RH,,,,
fw_withdraw_reason_other,lost_to_followup_withdrawal,,text,"==> If other, please specify",,,,,,,[fw_withdraw_reason] = '90',y,RH,,,,
fw_consent_for_datacollection,lost_to_followup_withdrawal,,yesno,"=> If yes, does the woman give consent to have her and her baby's information collected from medical records?",,,,,,,[fw_withdraw_from_study] = '1',y,RH,,,,
fw_lost_to_followup,lost_to_followup_withdrawal,,yesno,Was the woman lost to follow-up?,,,,,,,,y,RH,,,,
fw_lost_decision_date,lost_to_followup_withdrawal,,text,"=> If yes, please specify the date on which this decision was made?",,,date_ymd,,,,[fw_lost_to_followup] = '1',y,RH,,,,
fw_24_app_username,lost_to_followup_withdrawal,,text,Mobile app username:,,,,,,,,,RH,,,, @APPUSERNAME-APP @READONLY @HIDDEN-APP
f6an_lab_test_date,laboratory,Laboratory Tests,text,Laboratory Test Date,,,date_ymd,,,,[profile_summary_arm_1][f2a_cohort] <> '1',y,RH,,,,
f6an_ga_lab_test_date,laboratory,,calc,GA at the date of laboratory test  <span style='color: grey'>(Autopopulated)</span>,"round((datediff([precise_visit_1_arm_1][f2_visit_date],[f6an_lab_test_date],""d"",""ymd"",true) + round([precise_visit_1_arm_1][f6a_ga_enrol]*7,0))/7,2)",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1',,RH,,,,
f6an_gdm_screening,laboratory,,dropdown,Screened for GDM?,"1, Done and result available | 2, Done and result not yet available | 3, Not done",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1',y,RH,,,,
f6an_gdm_screening_date,laboratory,,text,"=> If yes, what was the date of screening?",,,date_ymd,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f6an_gdm_screening] = '1'),y,RH,,,,
f6an_gdm_test_type,laboratory,,dropdown,"=> If yes, what type of test was performed?","1, Fasting blood glucose | 2, Glucose challenge test | 3, Glucose tolerance test | 4, Glycosuria by urinary dipstick | 5, Random blood glucose",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f6an_gdm_screening] = '1'),y,RH,,,,
f6an_fasting_glucose_lvl,laboratory,,descriptive,"==> If glucose challenge or tolerance tests were performed, what was her fasting glucose level?",,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f6an_gdm_test_type] = '2' or [f6an_gdm_test_type] = '3'),,RH,,,,
f6an_fasting_glucose_lvl_mmol,laboratory,,text,==> Result in mmol/L,,,number,2,10,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f6an_gdm_test_type] = '2' or [f6an_gdm_test_type] = '3'),y,RH,,,,
f6an_fasting_glucose_lvl_mg,laboratory,,text,==> Result in mg/dL,,,number,50,175,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f6an_gdm_test_type] = '2' or [f6an_gdm_test_type] = '3'),y,RH,,,,
f6an_1h_glucose_lvl,laboratory,,descriptive,"==> If glucose challenge or tolerance tests were performed, what was her 1h glucose level?",,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f6an_gdm_test_type] = '2' or [f6an_gdm_test_type] = '3'),,RH,,,,
f6an_1h_glucose_lvl_mmol,laboratory,,text,==> Result in mmol/L,,,number,2,25,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f6an_gdm_test_type] = '2' or [f6an_gdm_test_type] = '3'),y,RH,,,,
f6an_1h_glucose_lvl_mg,laboratory,,text,==> Result in mg/dL,,,number,75,250,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f6an_gdm_test_type] = '2' or [f6an_gdm_test_type] = '3'),y,RH,,,,
f6an_2h_glucose_lvl,laboratory,,descriptive,"==> If glucose challenge or tolerance tests were performed, what was her 2h glucose level?",,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f6an_gdm_test_type] = '2' or [f6an_gdm_test_type] = '3'),,RH,,,,
f6an_2h_glucose_lvl_mmol,laboratory,,text,==> Result in mmol/L,,,number,2,20,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f6an_gdm_test_type] = '2' or [f6an_gdm_test_type] = '3'),y,RH,,,,
f6an_2h_glucose_lvl_mg,laboratory,,text,==> Result in mg/dL,,,number,75,250,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f6an_gdm_test_type] = '2' or [f6an_gdm_test_type] = '3'),y,RH,,,,
f6an_3h_glucose_lvl,laboratory,,descriptive,"==> If glucose challenge or tolerance tests were performed, what was her 3h glucose level?",,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f6an_gdm_test_type] = '2' or [f6an_gdm_test_type] = '3'),,RH,,,,
f6an_3h_glucose_lvl_mmol,laboratory,,text,==> Result in mmol/L,,,number,2,20,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f6an_gdm_test_type] = '2' or [f6an_gdm_test_type] = '3'),y,RH,,,,
f6an_3h_glucose_lvl_mg,laboratory,,text,==> Result in mg/dL,,,number,50,200,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f6an_gdm_test_type] = '2' or [f6an_gdm_test_type] = '3'),y,RH,,,,
f6an_random_sugar_test,laboratory,,descriptive,"==> If random blood sugar test was performed, what was the result?",,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f6an_gdm_test_type] = '5'),,RH,,,,
f6an_random_sugar_test_mmol,laboratory,,text,==> Result in mmol/L,,,number,2,20,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f6an_gdm_test_type] = '5'),y,RH,,,,
f6an_random_sugar_test_mg,laboratory,,text,==> Result in mg/dL,,,number,20,250,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f6an_gdm_test_type] = '5'),y,RH,,,,
f6an_glycosuria_result,laboratory,,radio,"==> If glycosuria testing was performed, what was the result?","1, None | 2, 1+ | 3, 2+ | 4, 3+",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f6an_gdm_test_type] = '4'),y,RH,,,,
f6an_haemoglobin,laboratory,,dropdown,Haemoglobin level tested?,"1, Done and result available | 2, Done and result not yet available | 3, Not done",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1',y,RH,,,,
f6an_haemoglobin_results_l,laboratory,,text,"=> if done and result available, haemoglobin result (g/L)",,,number,120,155,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f6an_haemoglobin] = '1'),y,RH,,,,
f6an_haemoglobin_results_dl,laboratory,,text,"=> if done and result available, haemoglobin result (g/dL)",,,number,12,15.5,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f6an_haemoglobin] = '1'),y,RH,,,,
f6an_haematocrit,laboratory,,dropdown,Haematocrit tested?,"1, Done and result available | 2, Done and result not yet available | 3, Not done",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1',y,RH,,,,
f6an_haematocrit_results,laboratory,,text,"=> if done and result available, haematocrit result (%)",,,number,0.3,0.5,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f6an_haematocrit] = '1'),y,RH,,,,
f6an_wcc,laboratory,,dropdown,White Cell Count tested?,"1, Done and result available | 2, Done and result not yet available | 3, Not done",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1',y,RH,,,,
f6an_wcc_results_units,laboratory,,text,"=> if done and result available, White Cell Count result (N cells x 10^9/L)",,,number,3,15,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f6an_wcc] = '1'),y,RH,,,,
