field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
f3_decision_maker_pregnancy,environment,,dropdown,Who makes decisions about money related to pregnancy and pregnancy care?,"1, Husband | 2, Male partner | 3, Father | 4, Father-in-law | 5, Mother | 6, Mother-in-law | 7, Brother | 8, Brother-in-law | 9, Sister | 10, Sister-in-law | 11, Participant | 99, Don't know",,,,,,[f2a_cohort] <> '1',y,RH,,,,
f3_woman_has_money_for_transport,environment,,radio,Do you have access to money/sufficient funds to arrange transport to seek care at the nearest facility?,"1, Yes | 0, No | 99, Don't know",,,,,,,y,RH,,,,
f3_4_app_username,environment,,text,Mobile app username:,,,,,,,,,RH,,,,@APPUSERNAME-APP @READONLY @HIDDEN-APP
f3_4_system_datetime,environment,,text,<span style='color:grey'>Tablet System Date<span>,,default tablet system date,datetime_ymd,,,,,y,RH,,,,@NOW @READONLY @HIDDEN-APP @HIDEBUTTON
f4_interviewer_id,past_history,General Visit Information,text,Interviewer/data collector ID,,,,,,,,y,RH,,,,
f4_given_birth_before,past_history,Obstetric History,yesno,Have you ever given birth to a boy or girl who was born alive?,,,,,,,,y,RH,,,,
f4_number_of_boys,past_history,,text,"=> If yes, how many boys?",,,integer,0,10,,[f4_given_birth_before] = '1',y,RH,,,,
f4_number_of_girls,past_history,,text,"=> if yes, how many girls?",,,integer,0,10,,[f4_given_birth_before] = '1',y,RH,,,,
f4_number_of_surviving_children,past_history,,text,"=> if yes, how many children do you have who are still alive?",,,integer,0,20,,[f4_given_birth_before] = '1',y,RH,,,,
f4_miscarriage_or_abortion,past_history,,yesno,Have you ever had a pregnancy that miscarried or was aborted?,,,,,,,,y,RH,,,,
f4_miscarriage_or_abortion_frequency,past_history,,text,"=> if yes, how many times?",,,integer,0,10,,[f4_miscarriage_or_abortion] = '1',y,RH,,,,
f4_postpartum_stillborn_birth,past_history,,descriptive,(For Postpartum Enrollment) Have you previously given birth to a boy or girl who was stillborn?,,,,,,,[f2a_cohort] = '5',,RH,,,,
f4_stillborn_birth_label,past_history,,descriptive,<b>Have you ever given birth to a boy or girl who was stillborn?</b>,,,,,,,[f2a_cohort] <> '5',,RH,,,,
f4_stillborn_birth,past_history,,yesno,,,,,,,,,y,RH,,,,
f4_stillborn_birth_total,past_history,,text,"=> If yes, how many in total?",,,integer,0,10,,[f4_stillborn_birth] = '1',y,RH,,,,
f4_stillborn_total_dk,past_history,,yesno,=> Don't know the total of stillborn,,,,,,,"[f4_stillborn_birth] <> '' and [f4_stillborn_birth_total] = '' and [f4_stillborn_birth] = ""1""",y,RH,,,,
f4_number_of_boys_stillborn,past_history,,text,"=> If yes, how many boys?",,,integer,0,10,,[f4_stillborn_birth] = '1',y,RH,,,,
f4_number_of_girls_stillborn,past_history,,text,"=> if yes, how many girls?",,,integer,0,10,,[f4_stillborn_birth] = '1',y,RH,,,,
f4_gravidity,past_history,,calc,Gravidity (calculated from live births + miscarriages + abortions + stillbirths),"if([f2a_cohort] > '1', sum([f4_number_of_boys],[f4_number_of_girls],[f4_miscarriage_or_abortion_frequency], [f4_stillborn_birth_total], 1), sum([f4_number_of_boys],[f4_number_of_girls],[f4_miscarriage_or_abortion_frequency], [f4_stillborn_birth_total]))",,,,,,,,RH,,,,
f4_parity,past_history,,calc,Parity (calculated from stillbirths + livebirths),"sum([f4_number_of_boys],[f4_number_of_girls],[f4_stillborn_birth_total])",,,,,,,,RH,,,,
f4_birth_by_caesarean,past_history,,yesno,"=> If at least one livebirth or stillbirth, did you ever give birth by Caesarean, that is, did they cut your belly open to take the baby out?",,,,,,,[f4_parity] >= '1',y,RH,,,,
f4_contraception_last_year,past_history,,radio,Have you used contraception in the last year?,"1, Yes | 0, No | 99, Don't know",,,,,,,y,RH,,,,
f4_previous_contraception_method,past_history,,dropdown,"=> If yes, what method did you use?","1, Lactational Amenorrhea | 2, Coitus Interruptus | 3, Fertility Awareness-Based | 4, Barrier | 5, Injectable | 6, Subcutaneous Rod | 7, Progestin-Only Pill | 8, Combined Hormonal Oral | 9, Emergency Contraception | 10, Intrauterine | 11, Female And Male Sterilisation | 90, Other",,,,,,[f4_contraception_last_year] = '1',y,RH,,,,
f4_previous_contraception_would_use,past_history,,radio,"=> If no, would you have used contraception if it were available?","1, Yes | 0, No | 99, Don't know",,,,,,[f4_contraception_last_year] = '0',y,RH,,,,
f4_fertility_treatment,past_history,,radio,Have you received fertility treatment for this conception?,"1, Yes | 0, No | 99, Don't know",,,,,,[f2a_cohort] <> '1',y,RH,,,,
f4_high_bp_or_hypertension,past_history,Pre-existing Medical Conditions,radio,Have you ever been told by a doctor or other health worker that you have high blood pressure or hypertension?,"1, Yes | 0, No | 99, Don't know",,,,,,,y,RH,,,,
f4_dialysis,past_history,,radio,Have you ever been put on a kidney machine?,"1, Yes | 0, No | 99, Don't know",,,,,,,y,RH,,,,
f4_worms,past_history,,radio,"Have you ever been treated for ""worms""?","1, Yes | 0, No | 99, Don't know",,,,,,,y,RH,,,,
f4_high_blood_sugar_history,past_history,,radio,Have you ever been told by a doctor or other health worker that you have high blood sugar or diabetes?,"1, Yes | 0, No | 99, Don't know",,,,,,,y,RH,,,,
f4_chronic_heart_condition_history,past_history,,radio,Have you ever been told by a doctor or other health worker that you have heart disease or a chronic heart condition?,"1, Yes | 0, No | 99, Don't know",,,,,,,y,RH,,,,
f4_pregnancy_unrelated_seizures,past_history,,radio,Have you had seizures unrelated to pregnancy/postpartum?,"1, Yes | 0, No | 99, Don't know",,,,,,,y,RH,,,,
f4_hepatitis,past_history,,radio,Do you have chronic or active hepatitis?,"1, Yes | 0, No | 99, Don't know",,,,,,,y,RH,,,,
f4_asthma,past_history,,radio,Do you have asthma?,"1, Yes | 0, No | 99, Don't know",,,,,,,y,RH,,,,
f4_medical_condition_other,past_history,,radio,Do you have any other medical condition diagnosed?,"1, Yes | 0, No | 99, Don't know",,,,,,,y,RH,,,,
f4_medical_condition_other_specify,past_history,,text,"=> If yes, please specify",,,,,,,[f4_medical_condition_other] = '1',y,RH,,,,
f4_5_system_datetime,past_history,,text,<span style='color:grey'>Tablet System Date<span>,,default tablet system date,datetime_ymd,,,,,y,RH,,,,@NOW @READONLY @HIDDEN-APP @HIDEBUTTON
f4_5_app_username,past_history,,text,Mobile app username:,,,,,,,,,RH,,,,@APPUSERNAME-APP @READONLY @HIDDEN-APP
f5_interviewer_id,nutrition,General Visit Information,text,Interviewer/data collector ID,,,,,,,,y,RH,,,,
f5_food_grains,nutrition,Dietary Diversity Score Screen,yesno,"During the last 24 hours, have you eaten any foods made from grains, like: porridge, bread, rice, pasta/noodles, millet or other foods made from grains?",,,,,,,,y,RH,,,,
f5_food_grains_frequency,nutrition,,dropdown,"In the last month, how often have you eaten any foods made from grains, like: porridge, bread, rice, pasta/noodles, millet or other foods made from grains?","1, Every day | 2, 2-4 times per week | 3, 5-6 times per week | 4, Once a week | 5, Less than once a week",,,,,,,y,RH,,,,
f5_food_veg_orange,nutrition,,yesno,"During the last 24 hours, have you eaten any vegetables or root that are orange-coloured inside, like: pumpkin, carrots, squash or sweet potatoes that are yellow or orange inside?",,,,,,,,y,RH,,,,
f5_food_veg_orange_frequency,nutrition,,dropdown,"In the last month, how often have you eaten any vegetables or root that are orange-coloured inside, like: pumpkin, carrots, squash or sweet potatoes that are yellow or orange inside?","1, Every day | 2, 2-4 times per week | 3, 5-6 times per week | 4, Once a week | 5, Less than once a week",,,,,,,y,RH,,,,
f5_food_root_white,nutrition,,yesno,"During the last 24 hours, have you eaten any white roots and tubers or plantains, such as: white potatoes, white yams, cassava/radish, or any other foods made from white-fleshed roots or tubers, or plantains?",,,,,,,,y,RH,,,,
f5_food_root_white_frequency,nutrition,,dropdown,"In the last month, how often have you eaten any white roots and tubers or plantains, such as: white potatoes, white yams, cassava/radish, or any other foods made from white-fleshed roots or tubers, or plantains?","1, Every day | 2, 2-4 times per week | 3, 5-6 times per week | 4, Once a week | 5, Less than once a week",,,,,,,y,RH,,,,
f5_food_leafy_green,nutrition,,yesno,"During the last 24 hours, have you eaten any dark green leafy vegetables, such as: List examples of any medium-to-dark green leafy vegetables, including wild-foraged leaves?",,,,,,,,y,RH,,,,
f5_food_leafy_green_frequency,nutrition,,dropdown,"In the last month, how often have you eaten any dark green leafy vegetables, such as: List examples of any medium-to-dark green leafy vegetables, including wild-foraged leaves?","1, Every day | 2, 2-4 times per week | 3, 5-6 times per week | 4, Once a week | 5, Less than once a week",,,,,,,y,RH,,,,
f5_food_fruit_yellow,nutrition,,yesno,"During the last 24 hours, have you eaten any fruits that are dark yellow or orange inside, like: ripe mango, ripe papaya?",,,,,,,,y,RH,,,,
f5_food_fruit_yellow_frequency,nutrition,,dropdown,"In the last month, how often have you eaten any fruits that are dark yellow or orange inside, like: ripe mango, ripe papaya?","1, Every day | 2, 2-4 times per week | 3, 5-6 times per week | 4, Once a week | 5, Less than once a week",,,,,,,y,RH,,,,
f5_food_veg_other,nutrition,,yesno,"During the last 24 hours, have you eaten any other vegetables?",,,,,,,,y,RH,,,,
f5_food_veg_other_frequency,nutrition,,dropdown,"In the last month, how often have you eaten any other vegetables?","1, Every day | 2, 2-4 times per week | 3, 5-6 times per week | 4, Once a week | 5, Less than once a week",,,,,,,y,RH,,,,
f5_food_fruit_other,nutrition,,yesno,"During the last 24 hours, have you eaten any other fruits?",,,,,,,,y,RH,,,,
f5_food_fruit_other_frequency,nutrition,,dropdown,"In the last month, how often have you eaten any other fruits?","1, Every day | 2, 2-4 times per week | 3, 5-6 times per week | 4, Once a week | 5, Less than once a week",,,,,,,y,RH,,,,
f5_food_organ,nutrition,,yesno,"During the last 24 hours, have you eaten any meat made from animal organs, such as: liver, kidney, heart or other organ meats or blood-based foods, including from wild game?",,,,,,,,y,RH,,,,
f5_food_organ_frequency,nutrition,,dropdown,"In the last month, how often have you eaten any meat made from animal organs, such as: liver, kidney, heart or other organ meats or blood-based foods, including from wild game?","1, Every day | 2, 2-4 times per week | 3, 5-6 times per week | 4, Once a week | 5, Less than once a week",,,,,,,y,RH,,,,
f5_food_meat,nutrition,,yesno,"During the last 24 hours, have you eaten any other types of meat or poultry, like: beef, pork, lamb, goat, rabbit, wild game meat, chicken, duck, other birds?",,,,,,,,y,RH,,,,
f5_food_meat_frequency,nutrition,,dropdown,"In the last month, how often have you eaten any other types of meat or poultry, like: beef, pork, lamb, goat, rabbit, wild game meat, chicken, duck, other birds?","1, Every day | 2, 2-4 times per week | 3, 5-6 times per week | 4, Once a week | 5, Less than once a week",,,,,,,y,RH,,,,
f5_food_eggs,nutrition,,yesno,"During the last 24 hours, have you eaten any eggs: eggs from poultry or any other bird?",,,,,,,,y,RH,,,,
f5_food_eggs_frequency,nutrition,,dropdown,"In the last month, how often have you eaten any eggs: eggs from poultry or any other bird?","1, Every day | 2, 2-4 times per week | 3, 5-6 times per week | 4, Once a week | 5, Less than once a week",,,,,,,y,RH,,,,
f5_food_seafood,nutrition,,yesno,"During the last 24 hours, have you eaten any fish or seafood, whether fresh or dried: fresh or dried fish, shellfish or seafood?",,,,,,,,y,RH,,,,
f5_food_seafood_frequency,nutrition,,dropdown,"In the last month, how often have you eaten any fish or seafood, whether fresh or dried: fresh or dried fish, shellfish or seafood?","1, Every day | 2, 2-4 times per week | 3, 5-6 times per week | 4, Once a week | 5, Less than once a week",,,,,,,y,RH,,,,
f5_food_bean,nutrition,,yesno,"During the last 24 hours, have you eaten any beans or peas, such as: mature beans or peas (fresh or dried seed), lentils or bean/pea products, including hummus, tofu and tempeh?",,,,,,,,y,RH,,,,
f5_food_bean_frequency,nutrition,,dropdown,"In the last month, how often have you eaten any beans or peas, such as: mature beans or peas (fresh or dried seed), lentils or bean/pea products, including hummus, tofu and tempeh?","1, Every day | 2, 2-4 times per week | 3, 5-6 times per week | 4, Once a week | 5, Less than once a week",,,,,,,y,RH,,,,
f5_food_nuts,nutrition,,yesno,"During the last 24 hours, have you eaten any nuts or seeds, like: any tree nut, ground nut, peanut or certain seeds or nut/seed ""butters"" or pastes?",,,,,,,,y,RH,,,,
f5_food_nuts_frequency,nutrition,,dropdown,"In the last month, how often have you eaten any nuts or seeds, like: any tree nut, ground nut, peanut or certain seeds or nut/seed ""butters"" or pastes?","1, Every day | 2, 2-4 times per week | 3, 5-6 times per week | 4, Once a week | 5, Less than once a week",,,,,,,y,RH,,,,
f5_food_milk,nutrition,,yesno,"During the last 24 hours, have you eaten any milk or milk products such as: milk, cheese, yoghurt or other milk products but NOT including butter, ice cream, cream or sour cream?",,,,,,,,y,RH,,,,
f5_food_milk_frequency,nutrition,,dropdown,"In the last month, how often have you eaten any milk or milk products such as: milk, cheese, yoghurt or other milk products but NOT including butter, ice cream, cream or sour cream?","1, Every day | 2, 2-4 times per week | 3, 5-6 times per week | 4, Once a week | 5, Less than once a week",,,,,,,y,RH,,,,
f5_food_condiments,nutrition,,yesno,"During the last 24 hours, have you eaten any condiments and seasonings, such as: ingredients used in small quantities for flavour, such as chillies, spices, herbs, fish powder, tomato paste, flavour cubes or seeds?",,,,,,,,y,RH,,,,
f5_food_condiments_frequency,nutrition,,dropdown,"In the last month, how often have you eaten any condiments and seasonings, such as: ingredients used in small quantities for flavour, such as chillies, spices, herbs, fish powder, tomato paste, flavour cubes or seeds?","1, Every day | 2, 2-4 times per week | 3, 5-6 times per week | 4, Once a week | 5, Less than once a week",,,,,,,y,RH,,,,
f5_food_fried_snacks,nutrition,,yesno,"During the last 24 hours, have you eaten any freshly cooked fried snacks, like: samosa, wada, fritter?",,,,,,,,y,RH,,,,
f5_food_fried_snacks_frequency,nutrition,,dropdown,"In the last month, how often have you eaten any freshly cooked fried snacks, like: samosa, wada, fritter?","1, Every day | 2, 2-4 times per week | 3, 5-6 times per week | 4, Once a week | 5, Less than once a week",,,,,,,y,RH,,,,
f5_food_savoury_snacks,nutrition,,yesno,"During the last 24 hours, have you eaten any savoury snacks in packets, like: potato crisps, Lays, kukure and other similar snacks?",,,,,,,,y,RH,,,,
f5_food_savoury_snacks_frequency,nutrition,,dropdown,"In the last month, how often have you eaten any savoury snacks in packets, like: potato crisps, Lays, kukure and other similar snacks?","1, Every day | 2, 2-4 times per week | 3, 5-6 times per week | 4, Once a week | 5, Less than once a week",,,,,,,y,RH,,,,
f5_food_bakery,nutrition,,yesno,"During the last 24 hours, have you eaten any bakery items, such as: cake, biscuits, puffs?",,,,,,,,y,RH,,,,
f5_food_bakery_frequency,nutrition,,dropdown,"In the last month, how often have you eaten any bakery items, such as: cake, biscuits, puffs?","1, Every day | 2, 2-4 times per week | 3, 5-6 times per week | 4, Once a week | 5, Less than once a week",,,,,,,y,RH,,,,
f5_food_sweets,nutrition,,yesno,"During the last 24 hours, have you eaten any sweets?",,,,,,,,y,RH,,,,
f5_food_sweets_frequency,nutrition,,dropdown,"In the last month, how often have you eaten any sweets?","1, Every day | 2, 2-4 times per week | 3, 5-6 times per week | 4, Once a week | 5, Less than once a week",,,,,,,y,RH,,,,
f5_food_fast_restaurant,nutrition,,yesno,"During the last 24 hours, have you eaten any fast food/street food/restaurant food?",,,,,,,,y,RH,,,,
f5_food_fast_restaurant_frequency,nutrition,,dropdown,"In the last month, how often have you eaten any fast food/street food/restaurant food?","1, Every day | 2, 2-4 times per week | 3, 5-6 times per week | 4, Once a week | 5, Less than once a week",,,,,,,y,RH,,,,
f5_food_fizzy_drinks,nutrition,,yesno,"During the last 24 hours, have you consumed any fizzy drinks, such as: Coca Cola, Fanta, Limca?",,,,,,,,y,RH,,,,
f5_food_fizzy_drinks_frequency,nutrition,,dropdown,"In the last month, how often have you consumed any fizzy drinks, such as: Coca Cola, Fanta, Limca?","1, Every day | 2, 2-4 times per week | 3, 5-6 times per week | 4, Once a week | 5, Less than once a week",,,,,,,y,RH,,,,
f5_food_other_drinks,nutrition,,yesno,"During the last 24 hours, have you consumed any other drinks?",,,,,,,,y,RH,,,,
f5_food_other_drinks_frequency,nutrition,,dropdown,"In the last month, how often have you consumed any other drinks?","1, Every day | 2, 2-4 times per week | 3, 5-6 times per week | 4, Once a week | 5, Less than once a week",,,,,,,y,RH,,,,
f5_6_app_username,nutrition,,text,Mobile app username:,,,,,,,,,RH,,,,@APPUSERNAME-APP @READONLY @HIDDEN-APP
f5_6_system_datetime,nutrition,,text,<span style='color:grey'>Tablet System Date<span>,,default tablet system date,datetime_ymd,,,,,y,RH,,,,@NOW @READONLY @HIDDEN-APP @HIDEBUTTON
f6a_interviewer_id,this_pregnancy,General Visit Information,text,Interviewer/data collector ID,,,,,,,,y,RH,,,,
f6a_lmp_wra,this_pregnancy,Gestational Age Determination,text,When did your last menstrual period (LMP) start?,,,date_ymd,,,,[f2a_cohort] = '1',y,RH,,,,
f6a_lmp_wra_unknown,this_pregnancy,,yesno,=> Don't know LMP start date,,,,,,,[f6a_lmp_wra] = '' and [f2a_cohort] = '1',y,RH,,,,
f6a_lmp,this_pregnancy,,text,When did your last menstrual period (LMP) start?,,,date_ymd,,,,[f2a_cohort] <> '1',,RH,,,,@HIDEBUTTON
f6a_lmp_message,this_pregnancy,,descriptive,"<span style=""color:blue"">This means the woman has been pregnant for [f6a_ga_lmp_or_months] weeks.  Please confirm the LMP date and correct it if necessary.</span>",,,,,,,[f2a_cohort] <> '1' and [f6a_ga_lmp_or_months] <> '' and ([f6a_ga_lmp_or_months] < 12 or [f6a_ga_lmp_or_months] > 40),,RH,,,,
f6a_lmp_unknown,this_pregnancy,,yesno,=> Don't know LMP start date,,,,,,,[f2a_cohort] <> '1' and ([f6a_lmp] = ''),y,RH,,,,
f6a_lmp_certainty,this_pregnancy,,dropdown,How certain are you/is she of this date?,"1, Uncertain | 2, Certain by menstrual cycle | 3, Certain, by cycle and scan confirmed | 4, Certain, by cycle, revised by scan",,,,,,([f6a_lmp] <> '' or [f6a_lmp_wra] <> '') and ([f6a_lmp_unknown] <> '1'),y,RH,,,,
f6a_postpartum_ultrasound1,this_pregnancy,,descriptive,<span style='color:blue'>(For Postpartum Enrollment)</span> Did you have an ultrasound scan in this most recent pregnancy?,,,,,,,[f2a_cohort] = '5',,RH,,,,
f6a_ultrasound1_label,this_pregnancy,,descriptive,<b>Have you had an ultrasound scan in this pregnancy?</b>,,,,,,,[f2a_cohort] <> '1' and [f2a_cohort] <> '5',,RH,,,,
f6a_ultrasound1,this_pregnancy,,radio,,"1, Yes | 0, No | 99, Don't know",,,,,,[f2a_cohort] <> '1',y,RH,,,,
f6a_ultrasound1_gender,this_pregnancy,Ultrasound 1,dropdown,"=> If yes, what is the fetal sex?","1, Likely male | 2, Likely female | 3, Not seen | 4, Not reported",,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1'),y,RH,,,,
f6a_ultrasound1_date,this_pregnancy,,text,"=> If yes, what was the DATE of the FIRST scan?",,,date_ymd,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1'),,RH,,,,@HIDEBUTTON
f6a_ultrasound1_date_unknown,this_pregnancy,,yesno,=> DATE of the FIRST scan unknown,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1' and [f6a_ultrasound1_date] = ''),y,RH,,,,
f6a_ultrasound1_edd,this_pregnancy,,radio,"=> If yes, was an EDD assigned?","1, Yes | 0, No | 99, Don't know",,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1'),y,RH,,,,
f6a_ultrasound1_edd_date,this_pregnancy,,text,"==> If yes, what EDD was assigned?",,,date_ymd,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1_edd] = '1'),,RH,,,,@HIDEBUTTON
f6a_ultrasound1_edd_date_unknown,this_pregnancy,,yesno,==> EDD unknown,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1_edd] = '1' and [f6a_ultrasound1_edd_date] = ''),y,RH,,,,
f6a_ultrasound1_fetal_abnormality,this_pregnancy,,dropdown,"=> If yes, was a fetal abnormality detected?","1, None | 2, Not assessed | 3, CNS | 4, Cardiac | 5, Urogenital | 6, Gastrointestinal | 7, Musculoskeletal | 8, Respiratory | 9, Multiple | 10, Other Abnormality | 11, Not visualised",,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1'),y,RH,,,,
f6a_ultrasound1_tcd,this_pregnancy,,text,"=> If yes, what was the transcerebellar diameter(TCD) (mm)? (2 decimals)",,,number,10,50,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1'),y,RH,,,,
f6a_ultrasound1_tcd_unknown,this_pregnancy,,yesno,=> Don't know TCD,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1' and [f6a_ultrasound1_tcd] = ''),y,RH,,,,
f6a_ultrasound1_crl,this_pregnancy,,text,"=> If yes, what was the crown-rump length(CRL) (mm)? (2 decimals)",,,number,7,85,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1'),y,RH,,,,
f6a_ultrasound1_crl_unknown,this_pregnancy,,yesno,=> Don't know CRL,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1' and [f6a_ultrasound1_crl] = ''),y,RH,,,,
f6a_ultrasound1_bpd,this_pregnancy,,text,"=> If yes, what was the biparietal diameter(BPD) (mm)? (2 decimals)",,,number,20,110,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1'),y,RH,,,,
f6a_ultrasound1_bpd_unknown,this_pregnancy,,yesno,=> Don't know BPD,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1' and [f6a_ultrasound1_bpd] = ''),y,RH,,,,
f6a_ultrasound1_hc,this_pregnancy,,text,"=> If yes, what was the head circumference(HC) (mm)? (2 decimals)",,,number,80,380,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1'),y,RH,,,,
f6a_ultrasound1_hc_unknown,this_pregnancy,,yesno,=> Don't know HC,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1' and [f6a_ultrasound1_hc] = ''),y,RH,,,,
f6a_ultrasound1_ac,this_pregnancy,,text,"=> If yes, what was the abdominal circumference(AC) (mm)? (2 decimals)",,,number,60,410,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1'),y,RH,,,,
f6a_ultrasound1_ac_unknown,this_pregnancy,,yesno,=> Don't know AC,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1' and [f6a_ultrasound1_ac] = ''),y,RH,,,,
f6a_ultrasound1_fl,this_pregnancy,,text,"=> If yes, what was the femur length(FL) (mm)? (2 decimals)",,,number,10,80,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1'),y,RH,,,,
f6a_ultrasound1_fl_unknown,this_pregnancy,,yesno,=> Don't know FL,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1' and [f6a_ultrasound1_fl] = ''),y,RH,,,,
f6a_ultrasound1_subchorionic_haematoma,this_pregnancy,,radio,"=> If yes, is there a sub-chorionic haematoma?","1, Yes | 0, No | 99, Don't know",,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1'),y,RH,,,,
f6a_ultrasound1_fgr,this_pregnancy,,radio,"=> If yes, is there a clinical suspicion of fetal growth restriction(FGR)?","1, Yes | 0, No | 99, Don't know",,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1'),y,RH,,,,
f6a_ultrasound1_macrosomia,this_pregnancy,,radio,"=> If yes, is there a clinical indication for macrosomia?","1, Yes | 0, No | 99, Don't know",,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1'),y,RH,,,,
f6a_ultrasound1_afi,this_pregnancy,,text,"=> If yes, what was the amniotic fluid index(AFI) (mm)? (2 decimals)",,,number,15,180,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1'),y,RH,,,,
f6a_ultrasound1_afi_dk,this_pregnancy,,yesno,=> Don't know AFI,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1' and [f6a_ultrasound1_afi] = ''),y,RH,,,,
f6a_ultrasound1_pocket_depth,this_pregnancy,,text,"=> If yes, what was the depth of the deepest amniotic fluid pocket (mm)? (2 decimals)",,,number,5,100,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1'),y,RH,,,,
f6a_ultrasound1_pocket_depth_dk,this_pregnancy,,yesno,=> Don't know depth of the deepest amniotic fluid pocket,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1' and [f6a_ultrasound1_pocket_depth] = ''),y,RH,,,,
f6a_ultrasound1_umbilical_ri,this_pregnancy,,text,"=> If yes, what was the umbilical resistance index(RI)? (2 decimals)",,,number,0.4,1,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1'),y,RH,,,,
f6a_ultrasound1_umbilical_ri_dk,this_pregnancy,,yesno,=> Don't know umbilical RI,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1' and [f6a_ultrasound1_umbilical_ri] = ''),y,RH,,,,
f6a_ultrasound1_umbilical_pi,this_pregnancy,,text,"=> If yes, what was the umbilical pulsatility index(PI)? (2 decimals)",,,number,0.5,5,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1'),y,RH,,,,
f6a_ultrasound1_umbilical_pi_dk,this_pregnancy,,yesno,=> Don't know umbilical PI,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1' and [f6a_ultrasound1_umbilical_pi] = ''),y,RH,,,,
f6a_ultrasound1_umbilical_edv,this_pregnancy,,dropdown,"=> If yes, what was the umbilical end diastolic velocity(EDV)?","1, Present/intermittently absent | 2, Absent/intermittently reversed | 3, Reversed | 4, No result",,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1'),y,RH,,,,
f6a_ultrasound1_umbilical_edv_dk,this_pregnancy,,yesno,=> Don't know umbilical EDV,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1' and [f6a_ultrasound1_umbilical_edv] = ''),y,RH,,,,
f6a_ultrasound1_l_ut_ri,this_pregnancy,,text,"=> If yes, what was the left uterine artery resistance index(L Ut RI)? (2 decimals)",,,number,0.3,1,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1'),y,RH,,,,
f6a_ultrasound1_l_ut_ri_dk,this_pregnancy,,yesno,=> Don't know L Ut RI,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1' and [f6a_ultrasound1_l_ut_ri] = ''),y,RH,,,,
f6a_ultrasound1_r_ut_ri,this_pregnancy,,text,"=> If yes, what was the right uterine artery resistance index(R Ut RI)? (2 decimals)",,,number,0.3,1,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1'),y,RH,,,,
f6a_ultrasound1_r_ut_ri_dk,this_pregnancy,,yesno,=> Don't know R Ut RI,,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1' and [f6a_ultrasound1_r_ut_ri] = ''),y,RH,,,,
f6a_ultrasound1_mean_ut_ri,this_pregnancy,,calc,"=> If yes, what was the mean uterine artery resistance index(Ut RI)?",([f6a_ultrasound1_l_ut_ri] + [f6a_ultrasound1_r_ut_ri])/2,,,,,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1'),,RH,,,,
f6a_ultrasound1_l_ut_pi,this_pregnancy,,text,"=> If yes, what was the left uterine artery pulsatility index(L Ut PI)? (2 decimals)",,,number,0.2,5,,[f2a_cohort] <> '1' and ([f6a_ultrasound1] = '1'),y,RH,,,,
