neighborhood_code,exposure_month,lst
3,2020_03_15,39.92044765940385
3,2020_03_16,44.312583475794206
3,2020_03_17,34.04000391008638
3,2020_03_18,45.275872585748914
3,2020_03_19,
3,2020_03_20,44.28462399519858
3,2020_03_21,42.77982377332367
3,2020_03_22,42.92698741497879
3,2020_03_23,38.38295229694785
3,2020_03_24,33.399513694395424
3,2020_03_25,44.07846797366637
3,2020_03_26,
3,2020_03_27,44.50442130724141
3,2020_03_28,38.708893809333446
3,2020_03_29,45.32069917797323
3,2020_03_30,44.719027752518755
3,2020_03_31,45.894574618994454
3,2020_04_01,37.04767213472481
3,2020_04_02,41.49159267813698
3,2020_04_03,50.45204042847217
3,2020_04_04,
3,2020_04_05,49.21058705852493
3,2020_04_06,48.19935720001403
3,2020_04_07,48.25337922380305
3,2020_04_08,46.508947368420635
3,2020_04_09,43.606519932346075
3,2020_04_10,49.895112755974736
3,2020_04_11,
3,2020_04_12,44.72725566507824
3,2020_04_13,
3,2020_04_14,41.89430245880801
3,2020_04_15,41.441690248426994
3,2020_04_16,41.31973957007215
3,2020_04_17,45.20897355690604
3,2020_04_18,
3,2020_04_19,43.17633761321103
3,2020_04_20,
3,2020_04_21,46.25798566907927
3,2020_04_22,40.11795238788059
3,2020_04_23,41.77820627068743
3,2020_04_24,40.46245026006682
3,2020_04_25,
3,2020_04_26,45.23752782526394
3,2020_04_27,
3,2020_04_28,47.68583548539626
3,2020_04_29,38.50380314989312
3,2020_04_30,43.160675535590265
3,2020_05_01,
3,2020_05_02,
3,2020_05_03,47.43725548321403
3,2020_05_04,41.9124415305714
3,2020_05_05,53.17530726002994
3,2020_05_06,
3,2020_05_07,
3,2020_05_08,38.810959304131686
3,2020_05_09,39.90850507401841
3,2020_05_10,
3,2020_05_11,
3,2020_05_12,42.01873658749488
3,2020_05_13,
3,2020_05_14,46.458531080638885
3,2020_05_15,39.06637653220847
3,2020_05_16,46.09377641581523
3,2020_05_17,43.97606327065127
3,2020_05_18,
3,2020_05_19,36.77435820026966
3,2020_05_20,35.17844378569035
3,2020_05_21,48.9967448077693
3,2020_05_22,
3,2020_05_23,46.58732641035854
3,2020_05_24,41.21830065834894
3,2020_05_25,43.482572291129046
3,2020_05_26,43.280211235587444
3,2020_05_27,35.27067335321675
3,2020_05_28,43.443632651948114
3,2020_05_29,
3,2020_05_30,
3,2020_05_31,
3,2020_06_01,
3,2020_06_02,44.910000000000025
3,2020_06_03,36.18500972974875
3,2020_06_04,41.27950451023939
3,2020_06_05,
3,2020_06_06,
3,2020_06_07,
3,2020_06_08,
3,2020_06_09,
3,2020_06_10,
3,2020_06_11,
3,2020_06_12,33.610000000000014
3,2020_06_13,
3,2020_06_14,
3,2020_06_15,
3,2020_06_16,
3,2020_06_17,
3,2020_06_18,
3,2020_06_19,
3,2020_06_20,28.559456498017884
3,2020_06_21,
3,2020_06_22,27.263900720183322
3,2020_06_23,
3,2020_06_24,
3,2020_06_25,
3,2020_06_26,36.156219128505725
3,2020_06_27,
3,2020_06_28,
3,2020_06_29,32.68920113721378
3,2020_06_30,
3,2020_07_01,
3,2020_07_02,
3,2020_07_03,
3,2020_07_04,30.397491088640987
3,2020_07_05,
3,2020_07_06,
3,2020_07_07,
3,2020_07_08,26.936962317680546
3,2020_07_09,
3,2020_07_10,
3,2020_07_11,
3,2020_07_12,
3,2020_07_13,
3,2020_07_14,
3,2020_07_15,
3,2020_07_16,
3,2020_07_17,
3,2020_07_18,
3,2020_07_19,
3,2020_07_20,
3,2020_07_21,
3,2020_07_22,
3,2020_07_23,
3,2020_07_24,
3,2020_07_25,
3,2020_07_26,
3,2020_07_27,
3,2020_07_28,
3,2020_07_29,
3,2020_07_30,
3,2020_07_31,28.323743612166638
3,2020_08_01,
3,2020_08_02,
3,2020_08_03,
3,2020_08_04,
3,2020_08_05,
3,2020_08_06,
3,2020_08_07,
3,2020_08_08,
3,2020_08_09,
3,2020_08_10,
3,2020_08_11,
3,2020_08_12,
3,2020_08_13,
3,2020_08_14,
3,2020_08_15,
3,2020_08_16,29.353430418652415
3,2020_08_17,
3,2020_08_18,
3,2020_08_19,
3,2020_08_20,
3,2020_08_21,
3,2020_08_22,
3,2020_08_23,
3,2020_08_24,
3,2020_08_25,
3,2020_08_26,
3,2020_08_27,
3,2020_08_28,
3,2020_08_29,
3,2020_08_30,
3,2020_08_31,
3,2020_09_01,
3,2020_09_02,
3,2020_09_03,
3,2020_09_04,
3,2020_09_05,
3,2020_09_06,
3,2020_09_07,
3,2020_09_08,29.61441685156252
3,2020_09_09,
3,2020_09_10,
3,2020_09_11,
3,2020_09_12,
3,2020_09_13,
3,2020_09_14,
3,2020_09_15,
3,2020_09_16,
3,2020_09_17,
3,2020_09_18,
3,2020_09_19,
3,2020_09_20,
3,2020_09_21,
3,2020_09_22,28.198374313461656
3,2020_09_23,
3,2020_09_24,30.302357509184173
3,2020_09_25,
3,2020_09_26,
3,2020_09_27,
3,2020_09_28,29.93109027752539
3,2020_09_29,
3,2020_09_30,29.456346888299034
3,2020_10_01,28.751671698250213
3,2020_10_02,
3,2020_10_03,30.94910513585289
3,2020_10_04,
3,2020_10_05,27.67316356627156
3,2020_10_06,25.710000000000036
3,2020_10_07,30.010864038118445
3,2020_10_08,
3,2020_10_09,
3,2020_10_10,32.02881842650847
3,2020_10_11,
3,2020_10_12,
3,2020_10_13,
3,2020_10_14,32.210000000000036
3,2020_10_15,
3,2020_10_16,31.187026788637052
3,2020_10_17,29.66951078456304
3,2020_10_18,25.510000000000048
3,2020_10_19,34.322865002000825
3,2020_10_20,
3,2020_10_21,33.5947914923794
3,2020_10_22,32.488090695813945
3,2020_10_23,34.39151556759885
3,2020_10_24,
3,2020_10_25,32.67478067144386
3,2020_10_26,33.042593660204545
3,2020_10_27,30.349438493434647
3,2020_10_28,
3,2020_10_29,
3,2020_10_30,36.17315589422707
3,2020_10_31,30.938652293310668
3,2020_11_01,36.260248972466016
3,2020_11_02,37.4429538427968
3,2020_11_03,
3,2020_11_04,37.64590032008098
3,2020_11_05,
3,2020_11_06,38.23679800312846
3,2020_11_07,30.79000000000002
3,2020_11_08,40.56906985414435
3,2020_11_09,38.56640508493051
3,2020_11_10,33.43147237478602
3,2020_11_11,41.35144327647089
3,2020_11_12,35.26029489324556
3,2020_11_13,39.94112628669127
3,2020_11_14,
3,2020_11_15,41.30891927035978
3,2020_11_16,38.29030926053938
3,2020_11_17,
3,2020_11_18,40.011094278543915
3,2020_11_19,
3,2020_11_20,32.193246280871676
3,2020_11_21,
3,2020_11_22,39.07029843960229
3,2020_11_23,35.593571818281156
3,2020_11_24,37.95645491579695
3,2020_11_25,33.60867402611609
3,2020_11_26,36.00583266649747
3,2020_11_27,33.038681846287986
3,2020_11_28,31.674449314370843
3,2020_11_29,
3,2020_11_30,
3,2020_12_01,38.765850216418734
3,2020_12_02,36.27741152293369
3,2020_12_03,35.743174535336486
3,2020_12_04,39.16336722074741
3,2020_12_05,34.02367157094573
3,2020_12_06,39.87111410177078
3,2020_12_07,
3,2020_12_08,40.30143109155131
3,2020_12_09,35.32493662023084
3,2020_12_10,38.342939657367936
3,2020_12_11,37.95746690066525
3,2020_12_12,32.31650765649477
3,2020_12_13,40.535375095478315
3,2020_12_14,33.71940412104926
3,2020_12_15,40.954679918524384
3,2020_12_16,
3,2020_12_17,
3,2020_12_18,
3,2020_12_19,36.79341277779853
3,2020_12_20,36.55156085185283
3,2020_12_21,
3,2020_12_22,38.32845578874683
3,2020_12_23,
3,2020_12_24,
3,2020_12_25,
3,2020_12_26,32.101705369117376
3,2020_12_27,36.941849470774976
3,2020_12_28,
3,2020_12_29,38.19511675699236
3,2020_12_30,
3,2020_12_31,40.735038373403874
